epoch,train_loss,val_loss,train_accuracy,train_macro_f1,train_macro_precision,train_macro_recall,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall
1,0.3263192123269706,0.36861138926372267,0.8904115492350786,0.49262874497211595,0.6307655574380275,0.5114373070696147,0.8051282051282052,0.5479624987954484,0.5879213175716409,0.644368657588094
2,0.1945076614965064,0.35513487413578027,0.9180780004309416,0.6340879146996248,0.6923728527610578,0.6362912416108193,0.7983911513323279,0.6243650456746512,0.7139121122091149,0.6994560909174192
3,0.17374802749877705,0.25718006018180234,0.9283775048480931,0.6983888909260888,0.7369883923671503,0.6936681701964629,0.8756158873805933,0.6413377649834897,0.7456547529217794,0.7343196580695803
4,0.15782921941558803,0.12736839304592454,0.936888601594484,0.736197484669992,0.7738887936839076,0.7273295398138817,0.9503267973856209,0.7985414318682595,0.8424248363938686,0.7768894975743366
5,0.15464910207457955,0.20101396377329972,0.937987502693385,0.7494095031052319,0.7799880474841661,0.7411360353783805,0.9179487179487179,0.7564493811483866,0.7439575168373412,0.8052613562276763
6,0.15082108719136741,0.12367788814101884,0.9383322559793148,0.7557964210037161,0.7821290677338448,0.7476625820945129,0.9491201608848667,0.7261297955724993,0.8687250704766403,0.7435498375493417
7,0.14184486631804102,0.33596826063561763,0.9431157078215902,0.7681675542679954,0.7969483634243639,0.7578022474364632,0.8392156862745098,0.6567415797615183,0.7961620591329372,0.7450873598260926
8,0.13962016432315105,0.12202558067724176,0.9438698556345615,0.768271575125154,0.8083684777122522,0.7592342395226974,0.951131221719457,0.7672886201609539,0.8513797793591034,0.776302865193978
9,0.1435321284371752,0.13202752825631275,0.9433311786252963,0.7744569507118918,0.8040793176775687,0.7656925380661062,0.9461035696329814,0.7270668089616352,0.8875808497914602,0.7211462879138386
10,0.1362740959590865,0.14537788866721787,0.9451195862960569,0.7796108620645963,0.8114858024412623,0.7680413518831105,0.9447963800904977,0.7687418259386197,0.8028580043056945,0.7841231390602009
11,0.13624050163280035,0.12254625585074398,0.945442792501616,0.7824741522296258,0.8119422209376642,0.7730714258478733,0.9482151835093011,0.7791661794501188,0.8435478578415111,0.7903459123228541
12,0.1357010000072094,0.15817048818307525,0.9448610213316095,0.7827922295145338,0.8053198006072221,0.7729462036600723,0.9290095525389643,0.7887098090139799,0.7945064173086666,0.8169756338291221
13,0.12994504982003158,0.10793901102785011,0.948200818789054,0.7951162118307868,0.8221677266482139,0.7841265772145788,0.9552538964303671,0.7999600661520064,0.8714371632865123,0.7793433111187446
14,0.13081332382663163,0.12191828375503369,0.9476190476190476,0.7907749844578932,0.8171401354367254,0.7779621937827153,0.9532428355957768,0.7981940957278786,0.8832863826694959,0.7708355219348112
15,0.13491094088411823,0.12561358002905512,0.9477483301012712,0.7975985917851169,0.8232396761951073,0.7840208197707462,0.9497234791352438,0.783756891953514,0.8479461272832667,0.7869507851605337
16,0.12369310384364612,0.11423198885432795,0.9504632622279681,0.8029181952085825,0.8271200493829447,0.7897455733686406,0.9526395173453996,0.7652639431933466,0.8584786255984391,0.7747988349792758
17,0.12559513638526093,0.09729483542938577,0.9500323206205559,0.8045853121062079,0.8260498187980105,0.7919354243254471,0.9627953745600805,0.8527033719848158,0.8709558482273887,0.8397883633964647
18,0.1276402395155198,0.11177528154211706,0.9497091144149967,0.8019336141666383,0.828114753280365,0.7879901484877088,0.9560583207642032,0.8192945562564458,0.8302023594645271,0.8240189577823758
19,0.12166982002362073,0.1527354883707127,0.9526826115061409,0.811851497664446,0.8384781150508159,0.7973874504124914,0.9319255907491202,0.8018964398667312,0.7791302325299192,0.8416463829277232
20,0.1242763796413068,0.1132935253877985,0.9511743158801982,0.8091708871234932,0.8335391222211148,0.7952151680559857,0.95465057817999,0.8076651777167829,0.8797018758746811,0.7813147414673038
21,0.1244755570812681,0.11007683418500118,0.9522085757379875,0.8130258225528545,0.838633891347142,0.7993766700094845,0.9557566616390146,0.7751378295802736,0.8784724118194595,0.7734657276109044
22,0.12143589051781903,0.11344793523493696,0.9526610644257703,0.8161832445505803,0.839122185586803,0.8027843665227702,0.9598793363499246,0.8225987942242126,0.8891596383878472,0.8059690932574556
23,0.11713967348989344,0.12445775438502783,0.9550312432665374,0.8232128834160305,0.8446762480519645,0.8100176346996855,0.9460030165912519,0.8276289476405532,0.811043106450511,0.854113730125152
24,0.121685688559466,0.09542794967264072,0.9534367593191123,0.824421042110111,0.8434992989848769,0.8135774416655065,0.9668174962292609,0.8700351693792497,0.8926854707141657,0.8580049738080981
25,0.11418531215144652,0.10908682351962833,0.9560439560439561,0.8307850217599426,0.8528533924628716,0.8166312891318873,0.9531422825540473,0.7926004271485254,0.8335237049379121,0.8140761863579293
26,0.11526087500737726,0.09955485046486749,0.9561516914458091,0.8310301393690018,0.852649142935135,0.8182509731265142,0.9604826546003017,0.8358055713941367,0.904802508723136,0.8097994643074464
27,0.11129218756484718,0.11978628111131351,0.9576815341521224,0.839018053438333,0.8575845669295388,0.8274138016475034,0.9482151835093011,0.8335600893384378,0.8566614525824117,0.844506242184232
28,0.11814455770516391,0.098226861967745,0.9557207498383969,0.8327685167661969,0.853007671412883,0.8199682217977511,0.9627953745600805,0.8613649331716517,0.9041651327699968,0.8341883226996083
29,0.10927821420064082,0.09015684879308612,0.958478776125835,0.8422058679876913,0.8637530101605857,0.8276831293630826,0.9647058823529412,0.8658843762019988,0.8860455119321327,0.8628099434656732
30,0.10822357888096906,0.09033967044078986,0.9591251885369533,0.8469052550042422,0.8675192361378007,0.8333817269680857,0.9665158371040724,0.8722013906363573,0.8758844857091912,0.87748204338201
