condition,accuracy,macro_f1,mean_confidence,mean_entropy,low_confidence_rate_lt_0_70
in_distribution_test,0.9650075414781297,0.8739309126025361,0.9575660228729248,0.11192317306995392,0.040422322775263954
stealth_jammer,0.04333836098541981,0.06950553527995285,0.8713673949241638,0.3501911759376526,0.05822021116138763
slow_gps_drift,0.11603821015585722,0.16203206820687616,0.8497008681297302,0.3595927357673645,0.20201106083459025
intermittent_tampering,0.6570135746606335,0.5367903942495651,0.8781653642654419,0.27132004499435425,0.1649069884364002
delayed_combined,0.029361488185017597,0.07575435262319576,0.886244535446167,0.32998672127723694,0.05560583207642031
unseen_swarm_noise,0.9650075414781297,0.8739309126025361,0.9575154781341553,0.11205144226551056,0.04012066365007542
