model,test_loss,accuracy,macro_f1,macro_precision,macro_recall,model_path
lstm,0.03281938738918682,0.9890397184514832,0.9658583623474992,0.9735220152279784,0.9588637589504462,results/journal/seed_123/models/lstm_baseline.pt
gru,0.037147318945646046,0.9880341880341881,0.963359663045511,0.9710127265236927,0.9575276089072031,results/journal/seed_123/models/gru_baseline.pt
cnn1d,0.005141164461933774,0.9984917043740573,0.9967046135009614,0.9951028631093018,0.9983345355585195,results/journal/seed_123/models/cnn1d_baseline.pt
