model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
Binary LSTM,0.998471685971686,0.9975307968793031,0.9987600338013158,0.9981428913085013,0.9984770975270486,0.998471685971686,0.9984726287971396
Binary GRU,0.9979890604890604,0.9972682669082125,0.9978424849490029,0.9975548256974256,0.9979909892180613,0.9979890604890604,0.9979896406844302
