scenario,attack_intensity,sinr_mean_db,sinr_min_db,sinr_std_db,pdr_mean,latency_mean_ms,packet_loss_mean
combined,high,27.01257362250324,-17.504446881502385,17.297656935703923,0.7340277777777777,156.9191782709992,0.26241987035180536
combined,low,35.94733319464261,-8.915214341334835,9.395787206424071,0.9580555555555555,56.64733966119596,0.04000871631910514
combined,medium,31.66569935821161,-13.653086052436011,13.85385741832594,0.8556547619047619,93.12378409134075,0.13897707289656544
jamming,high,26.900595843487622,-21.089576944134983,17.06487422920704,0.7359649122807017,152.77129329649577,0.2613897826162969
jamming,low,35.53445454984697,-8.26601012289483,9.789896155998973,0.9519927536231884,58.155510586476424,0.04505897423642377
jamming,medium,31.848239160942377,-14.9593469231326,13.831090072801809,0.861698717948718,93.26532626408547,0.1356625656690101
jamming_spoofing,high,27.085023982324724,-19.101416089867406,17.140600638089904,0.7407608695652174,153.25592640719395,0.25903203323574625
jamming_spoofing,low,35.66090556507775,-8.273311561454996,9.767507961716307,0.956340579710145,58.9232943208613,0.046268387621621096
jamming_spoofing,medium,31.726726303476017,-15.70411373235204,13.84865476087165,0.8657738095238096,93.43734305774885,0.13599297940668623
jamming_tampering,high,26.941524250117894,-21.449287325020883,17.145144324219313,0.7475490196078431,154.57287046363237,0.2580896913431285
jamming_tampering,low,35.79220062918024,-6.419985335151818,9.468775775271459,0.9625,56.90240837250759,0.04101739427646169
jamming_tampering,medium,31.836476600448236,-15.082978173257846,13.81464159421108,0.861875,93.55876520866582,0.13470144531054426
normal,none,39.906849046169334,34.88024850396915,0.44875225729455953,1.0,45.082654380094134,1.6309214635098404e-05
spoofing,high,39.91252764206046,35.18314643348786,0.42871260621599266,1.0,44.92144648010485,1.5965642055089762e-05
spoofing,low,39.923161980132036,34.54520053442744,0.38176761267294385,1.0,45.061095333558036,1.5430372475541844e-05
spoofing,medium,39.92310825180134,34.634110305157165,0.3890002859904557,1.0,45.15145007719292,1.5281891042831463e-05
spoofing_tampering,high,39.92832852261269,35.72161144506227,0.35973740158426987,1.0,44.8442344539875,1.5429032116255474e-05
spoofing_tampering,low,39.91625888676598,34.69792129877722,0.39752835092542316,1.0,44.98415442616148,1.6258242438236877e-05
spoofing_tampering,medium,39.91883423273748,34.71442966205901,0.38371773182218,1.0,44.97022669675674,1.5747205744705683e-05
tampering,high,39.91914320967281,34.0729618835427,0.4186510821670175,1.0,45.130228647495215,1.5699338183516828e-05
tampering,low,39.92569438096916,35.02109939537828,0.38287187199499156,1.0,44.92816807370705,1.504101645410741e-05
tampering,medium,39.91830827179636,33.70413453716609,0.3944409594201467,1.0,45.12378761875138,1.5534456045805886e-05
