model,test_loss,accuracy,macro_f1,macro_precision,macro_recall,model_path
lstm,0.040538118050333964,0.9846153846153847,0.9524855014470397,0.9515722035025767,0.9552171232010114,results/journal/seed_2026/models/lstm_baseline.pt
gru,0.07770264591813807,0.9675213675213675,0.8752388737677601,0.9068893769264066,0.8564580579985264,results/journal/seed_2026/models/gru_baseline.pt
cnn1d,0.004113535791141641,0.9986928104575163,0.99655719137495,0.9979945027270987,0.9951472514187976,results/journal/seed_2026/models/cnn1d_baseline.pt
