condition,accuracy,macro_f1,mean_confidence,mean_entropy,low_confidence_rate_lt_0_70
in_distribution_test,0.9710407239819004,0.8898220238348775,0.9717907309532166,0.07432705909013748,0.028355957767722473
stealth_jammer,0.07038712921065862,0.05963342442766921,0.8363770246505737,0.3501923680305481,0.26747109100050276
slow_gps_drift,0.11855203619909502,0.12358834598677063,0.9078048467636108,0.21692650020122528,0.11804927099044746
intermittent_tampering,0.6984414278531925,0.629688166345546,0.9063662886619568,0.23088234663009644,0.10678733031674208
delayed_combined,0.03559577677224736,0.05315591917870481,0.9392223358154297,0.17283348739147186,0.07229763700351936
unseen_swarm_noise,0.9709401709401709,0.8894001559968097,0.9717884063720703,0.07433526962995529,0.028557063851181497
