configuration,ablation_type,train_loss,test_loss,accuracy,macro_precision,macro_recall,macro_f1,parameters,calibration_evidence,ood_evidence,explanation_evidence,recovery_support,interpretation
A0_full_graph_temporal_transformer,model_architecture,0.09546179582465844,0.11820491030812263,0.9579185520361991,0.927624114385649,0.8433213650876751,0.8734159371910365,680840,yes,yes,yes,yes,Architecture-level ablation trained and evaluated on the same graph-temporal dataset.
A1_without_uav_node_attention,model_architecture,0.12242422580988292,0.10202680718010435,0.9571644042232278,0.792966784801138,0.7993020771300401,0.7903457708140788,415880,yes,yes,yes,yes,Architecture-level ablation trained and evaluated on the same graph-temporal dataset.
A2_without_temporal_transformer,model_architecture,0.09725682711206286,0.13414442351159567,0.9506787330316742,0.9263067869267713,0.7982204460529145,0.8237202081472406,284296,yes,yes,yes,yes,Architecture-level ablation trained and evaluated on the same graph-temporal dataset.
A3_without_uncertainty_calibration,framework_module,,0.11820491030812263,0.9579185520361991,0.927624114385649,0.8433213650876751,0.8734159371910365,680840,no,yes,yes,yes,Removes confidence reliability evidence; prediction remains available but ECE/Brier/confidence evidence is absent.
A4_without_ood_stress_testing,framework_module,,0.11820491030812263,0.9579185520361991,0.927624114385649,0.8433213650876751,0.8734159371910365,680840,yes,no,yes,yes,Removes unseen-shift vulnerability evidence; prediction remains available but OOD risk evidence is absent.
A5_without_explainability,framework_module,,0.11820491030812263,0.9579185520361991,0.927624114385649,0.8433213650876751,0.8734159371910365,680840,yes,yes,no,yes,Removes traceable mission-risk driver evidence; prediction remains available but feature-level explanation is absent.
A6_without_recovery_reasoning,framework_module,,0.11820491030812263,0.9579185520361991,0.927624114385649,0.8433213650876751,0.8734159371910365,680840,yes,yes,yes,no,"Removes mission-response support; prediction, calibration, OOD, and explanation remain available."
