condition,accuracy,macro_f1,mean_confidence,mean_entropy,low_confidence_rate_lt_0_70
in_distribution_test,0.9579688285570639,0.8611887503533315,0.9600123763084412,0.09202905744314194,0.057717445952740074
stealth_jammer,0.081649069884364,0.10456459473858978,0.8878964185714722,0.3344184160232544,0.036701860231272
slow_gps_drift,0.1411764705882353,0.2245442825945187,0.9051418304443359,0.2398645430803299,0.11010558069381599
intermittent_tampering,0.7174459527400704,0.6229167621748974,0.890346348285675,0.2436521053314209,0.1583710407239819
delayed_combined,0.026646556058320763,0.027402630386785365,0.9327694773674011,0.19008630514144897,0.06747109100050276
unseen_swarm_noise,0.9576671694318754,0.8599923025813418,0.9600058197975159,0.0920485258102417,0.057817998994469585
