feature,baseline_macro_f1,perturbed_macro_f1,macro_f1_drop
latency_ms,0.8611887503533315,0.18271221189035858,0.678476538462973
zone_coverage,0.8611887503533315,0.48034778916831217,0.38084096118501937
route_deviation_m,0.8611887503533315,0.5148444569720525,0.34634429338127903
gps_jump_m,0.8611887503533315,0.5437065415474633,0.3174822088058682
mission_progress,0.8611887503533315,0.5486266607405499,0.31256208961278165
velocity_inconsistency,0.8611887503533315,0.8445967699998883,0.016591980353443225
energy_consumption,0.8611887503533315,0.8579082187798339,0.0032805315734976137
packet_loss_rate,0.8611887503533315,0.8608904887811966,0.0002982615721349724
battery_level,0.8611887503533315,0.8609686537867137,0.00022009656661781118
